business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
ACTIVE SEPTIC SOLUTIONS INC,ACTIVSS025JM,CONSTRUCTION CONTRACTOR,32121 NE 8TH ST,,CARNATION,WA,98014,(206) 734-2001,"MURPHY, JERRY LYNN",https://davissepticdesign.com/,Plumbing,"Active Septic Solutions Inc specializes in septic system services, including maintenance and repairs, in Carnation, WA.","Septic system maintenance, Septic system repairs, Septic system design",0.81,0.75,0.90,,completed,approved_download,2025-07-31 20:14:48.791186,,2025-07-31 19:40:29.525309
AJ'S TREE EXPERTS LLC,AJSTRTE767QF,CONSTRUCTION CONTRACTOR,110 106TH ST S,,TACOMA,WA,98444,(253) 820-1342,"BIRCHARD, ANTHONY JOSHUA",https://ajstreeexperts.com,Landscaping,"AJ's Tree Experts, LLC offers expert tree removal, pruning, stump grinding, and emergency services in Pierce County. Trust our reliable, licensed team for all your tree care needs.","Tree removal, Pruning, Stump grinding, Emergency tree services",1.00,,1.00,,completed,approved_download,2025-07-31 20:28:07.437620,,2025-07-31 19:40:29.779733
ALL PRO REPAIR SERVICE LLC,ALLPRPR802MN,CONSTRUCTION CONTRACTOR,25719 207TH PL SE,,KENT,WA,98042,(206) 457-3787,"BARNETT, JOEL WILLIAM",https://allprorepairservice.com,Kitchen & Bath,"All Pro Repair Service LLC specializes in bathtub refinishing, repair, and restoration services, along with window and countertop repairs.","Bathtub Refinishing, Bathtub Repair, Window Frame Repair, Countertop Refinishing, Tile & Granite Repair",0.90,,0.90,,completed,approved_download,2025-07-31 20:39:56.464618,,2025-07-31 19:40:30.033510
123 Electric Service Inc,123ELES877DA,CONSTRUCTION CONTRACTOR,14725 NE 20TH STREET D-12,,Bellevue,WA,98007,(425) 455-2027,"LEBER, BRETT CHARLES",https://123electricservice.com/,Electrical,"123 Electric Service is a licensed, bonded, and insured electrician based in Bellevue, WA, specializing in electrical, heating, and air conditioning repairs.","Electrical Wiring, Remodels and Additions, Panel and Sub Panel Installation, Heating Services, Air Conditioning Services, Security Systems, Troubleshooting",0.70,0.50,1.00,,completed,pending_review,2025-07-31 19:43:09.565755,,2025-07-31 19:40:28.977388
123 Electric Service Inc,123ELES892CP,ELECTRICAL CONTRACTOR,14725 NE 20TH ST D-12,,Bellevue,WA,98007,(425) 455-2027,"Leber, Brett",https://123electricservice.com/,Electrical,"123 Electric Service is a licensed, bonded, and insured electrical contractor based in Bellevue, WA, specializing in electrical, heating, and air conditioning repairs.","Electrical Wiring, Remodels and Additions, Panel and Sub Panel Installation, Heating Services, Air Conditioning Services, Security Systems, Troubleshooting",0.70,0.50,1.00,,completed,pending_review,2025-07-31 19:43:13.428134,,2025-07-31 19:40:28.977388
A-ACTION GROUP UTILITIES INC,AACTIGU990OM,CONSTRUCTION CONTRACTOR,620 93rd ave se,,OLYMPIA,WA,98501,(360) 870-4970,"POTTER, BENNETT F",https://www.co.cowlitz.wa.us/1616/Licensed-Septic-Installers,Plumbing,"A-ACTION GROUP UTILITIES INC is a licensed contractor based in Olympia, WA, specializing in septic system services and utilities.","Septic system installation, Septic system maintenance, Utilities installation",0.66,0.50,0.90,,completed,pending_review,2025-07-31 19:59:02.036978,,2025-07-31 19:40:29.246584
AIM UP CONSTRUCTION LLC,AIMUPUC751LW,CONSTRUCTION CONTRACTOR,11024 NE 47TH ST,,VANCOUVER,WA,98682,(360) 713-7170,"VENGER, NIKOLAY",https://aimupconstruction.com/,Handyman,"Aim Up Construction LLC is dedicated to delivering high-quality construction services with a commitment to transparency, integrity, and excellence.",,0.62,0.50,0.80,,completed,pending_review,2025-07-31 20:25:47.780485,,2025-07-31 19:40:29.779733
ALEXANDER GROUP NORTHWEST INC,ALEXAGN826PB,CONSTRUCTION CONTRACTOR,7400 NE 175TH ST,,KENMORE,WA,98028,(206) 547-9633,"ALEXANDER, JOHN DAVIS",https://www.procore.com/network/p/alexander-group-nw-kenmore,Landscaping,"Alexander Group NW is a construction company based in Kenmore, WA and specializes in Landscaping.","Landscaping, Irrigation, Landscape Design",0.75,0.65,0.90,,completed,pending_review,2025-07-31 20:32:54.439178,,2025-07-31 19:40:29.906361
ALL PURPOSE DOOR REPAIR INC,ALLPUDR011O9,CONSTRUCTION CONTRACTOR,15824 SE 296TH,,KENT,WA,98042,(253) 638-6555,"GLASSER, JOHN R",https://www.allpurposedoorrepair.com/,Windows & Doors,All Purpose Door Repair is a family-owned business specializing in commercial door installation and repair since 1988.,"Commercial door installation, Commercial door repair, Automatic pedestrian door services, Emergency door repair, Free estimates",0.70,0.50,1.00,,completed,pending_review,2025-07-31 20:40:16.194945,,2025-07-31 19:40:30.033510
ALL WEATHER HTG & COOLING INC,ALLWEHC150KU,CONSTRUCTION CONTRACTOR,302 KEMP ST,,PORT ANGELES,WA,98362,(360) 452-9813,"Halverson, Dustin J",https://www.clallampud.net/ways-to-save/rebates-incentives/residential/,HVAC,"All Weather Heating & Cooling, Inc. is a leading contractor in Port Angeles, WA, specializing in heating and cooling solutions for residential and commercial clients.","Heating installation and repair, Cooling installation and repair, Emergency HVAC services",0.75,0.65,0.90,,completed,pending_review,2025-07-31 20:53:58.462834,,2025-07-31 19:40:30.033510
