id,business_name,city,state,phone_number,contractor_license_number,is_home_contractor,mailer_category,website_url,confidence_score,processing_status,last_processed
77,101 ROOF CLEANING,SEQUIM,WA,(360) 531-3321,101RORC762CZ,True,Roofing,https://nextdoor.com/pages/101-roof-cleaning-port-townsend-wa/,1.00,completed,2025-07-23 03:19:07
298,2 BROTHERS CONCRETE LLC,AUBURN,WA,(206) 941-8858,2BROTBC780DW,True,Concrete,https://www.2brothersconcrete.org/,1.00,completed,2025-07-23 18:17:37
376,206 ELECTRIC LLC,BOTHELL,WA,(206) 877-2759,206ELEL762NM,,Electrical,https://ibew46.com/resource-library/signatories/,1.00,completed,2025-07-23 18:23:58
49,1-800 PLUMBER & AIR PACIFIC NW,BEAVERTON,OR,(503) 676-3449,1800PPA785KB,True,Plumbing,https://1800plumber.com/portland-or/,1.00,completed,2025-07-23 03:17:35
131,12TH HANDYMAN,SEATTLE,WA,(707) 364-3996,12THHH*787P5,True,Handyman,https://www.12thhandyman.com/,1.00,completed,2025-07-23 04:54:45
387,20th Century Contracting,VANCOUVER,WA,(360) 606-8451,20THCCC860B4,True,Roofing,https://www.20thcenturyroofing.com/,1.00,completed,2025-07-23 18:25:15
45,1 WAY ELECTRICAL SERVS LLC,SEATTLE,WA,(206) 694-9024,1WAYEWE761MS,,Electrical,,1.00,completed,2025-07-23 03:17:20
48,1-2-3 PLUMBING LLC,TACOMA,WA,(253) 882-4845,123PLPL767OF,,Plumbing,,1.00,completed,2025-07-23 03:17:35
43,1 TOM PLUMBER,KENNEWICK,WA,(509) 727-3413,1TOMPTP773O8,True,Plumbing,https://www.1tomplumber.com/tri-cities/,1.00,completed,2025-07-23 03:17:15
259,1ST CLASS PAVING,ARLINGTON,WA,(360) 202-5200,1STCLCP812LO,True,Concrete,https://www.a1asphaltpc.com/,1.00,completed,2025-07-23 17:57:30
375,206 CREW LLC,SEATTLE,WA,(206) 458-3780,206CRCL775C4,True,Demolition,https://www.sledgeseattle.com/,1.00,completed,2025-07-23 18:23:50
356,2-SHEA'S PAINTING LLC,TRACYTON,WA,(360) 649-3783,2SHEAPL937L2,True,Painting,https://www.2sheaspainting.com/,1.00,completed,2025-07-23 18:21:42
47,1-2-3 CONSTRUCTION LLC,OAK HARBOR,WA,(360) 720-1125,123COCL847CZ,True,Kitchen & Bath,https://www.1-2-3construction.com/,1.00,completed,2025-07-23 03:17:26
347,2 SONS PLUMBING LLC,HOBART,WA,(206) 736-6300,2SONSSP833OF,True,Plumbing,,1.00,completed,2025-07-23 18:20:56
238,1ST CHOICE LANDSCAPING INC,Marysville,WA,(360) 926-3004,1STCHCL822JK,True,Landscaping,https://1stchoicelandscapinginc.com/,1.00,completed,2025-07-23 05:28:37
345,2 SONS PLUMBING,PACIFIC,WA,(206) 736-6300,2SONSSP759TF,True,Plumbing,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.00,completed,2025-07-23 18:20:48
344,2 SONS PLUMBING,PACIFIC,WA,(206) 736-6300,2SONSSP759CF,True,Plumbing,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.00,completed,2025-07-23 18:20:42
57,1-800-STRIPER OF BELLEVUE,KIRKLAND,WA,(425) 532-5401,1800SB*767M5,False,Painting,https://1800striper.com/striper-of-bellevue/,1.00,completed,2025-07-23 03:17:58
200,1LIFE CONSTRUCTION INC,SEATTLE,WA,(206) 676-2192,1LIFECI861M5,True,Plumbing,https://thepipedr.com/12345-lake-city-way-ne-ste-311-seattle-wa-98125/,1.00,completed,2025-07-23 05:17:43
105,12 DECKS & FENCES LLC,Snohomish,WA,(206) 487-6747,12DECDF813MN,True,Fencing,https://12decks.vercel.app/,1.00,completed,2025-07-23 03:20:36
343,2 SONS PLUMBING,PACIFIC,WA,(206) 736-6300,2SONSSP757D5,True,Plumbing,https://www.phccwa.org/find-a-contractor/2-sons-plumbing,1.00,completed,2025-07-23 18:20:34
336,2 PALMS DECORATIVE CNCRT LLC,RIDGEFIELD,WA,(360) 693-7866,2PALMPD840L3,True,Concrete,https://www.2palmsdc.com/,1.00,completed,2025-07-23 18:19:51
328,2 GUYS PLUMBING LLC,CASTLE ROCK,WA,(360) 747-9205,2GUYSGP820JD,True,Plumbing,https://www.2guysplumbing.com/drain-cleaning,1.00,completed,2025-07-23 18:18:54
327,2 GUYS PLUMBING LLC,CASTLE ROCK,WA,(360) 274-3453,2GUYSGP786KB,True,Plumbing,https://www.2guysplumbing.com/drain-cleaning,1.00,completed,2025-07-23 18:18:41
281,1ST RESPONSE PLUMBING,SPOKANE,WA,(509) 847-8372,1STRERP781D8,True,Plumbing,https://1stresponseplumbing.com,1.00,completed,2025-07-23 18:16:03
13,(H)ANDYMAN LLC,SEATTLE,WA,(206) 963-7622,HANDYL*845B8,True,Handyman,,1.00,completed,2025-07-23 03:12:15
271,1ST PLACE STRIPING,EVERETT,WA,(425) 357-8249,1STPLPS948M8,False,Concrete,http://www.1stplacestriping.com/services.cfm,1.00,completed,2025-07-23 18:15:41
10,$AVER HARDWOOD FLOORS LLC,RENTON,WA,(206) 372-5166,AVERHHF946CM,True,Flooring,,1.00,completed,2025-07-23 02:35:15
265,1ST GENERATION ELECTRIC LLC,RENTON,WA,(206) 910-1212,1STGEGE782KE,,Electrical,https://1st.net,1.00,completed,2025-07-23 05:30:40
250,1ST CHOICE ROOFING & SDNG LLC,PASCO,WA,(509) 845-6908,1STCHCR783PO,,Roofing,https://1st.net,1.00,completed,2025-07-23 05:29:26
