id,business_name,contractor_license_number,contractor_license_type_code,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,license_effective_date,license_expiration_date,business_type_code,business_type_code_desc,specialty_code1,specialty_code1_desc,specialty_code2,specialty_code2_desc,ubi,primary_principal_name,status_code,contractor_license_status,contractor_license_suspend_date,is_home_contractor,mailer_category,priority_category,website_url,website_status,business_description,tagline,established_year,years_in_business,services_offered,service_categories,specializations,website_email,website_phone,physical_address,residential_focus,commercial_focus,emergency_services,free_estimates,warranty_offered,confidence_score,classification_confidence,website_confidence,processing_status,last_processed,manual_review_needed,manual_review_reason,review_status,reviewed_by,reviewed_at
10,$AVER HARDWOOD FLOORS LLC,AVERHHF946CM,CC,CONSTRUCTION CONTRACTOR,17442 116th Ave SE,,RENTON,WA,98058,(206) 372-5166,2006-02-14,2025-02-24,L,Limited Liability Company,SK,Floor Covering and Counter Tops,,,602582149,"LE, SON T",O,OUT OF BUSINESS,2023-05-06,True,Flooring,False,,,"Install new and refinish wood floors, stair cases with the best quality at the affordable price. We serve Seattle and surrounding areas since 2002.",,,,"Hardwood floor installation, Hardwood floor refinishing, Staircase installation","Flooring, Hardwood Floor Installation and Refinishing",,,,,,,,,,1.00,,,completed,2025-07-23 02:35:15,False,,approved_download,,
13,(H)ANDYMAN LLC,HANDYL*845B8,CC,CONSTRUCTION CONTRACTOR,10248 1ST AVENUE SOUTHWEST,,SEATTLE,WA,98146,(206) 963-7622,2016-01-28,2026-07-01,L,Limited Liability Company,01,GENERAL,,,603450912,"RICE, ANDREW CHARLES",A,ACTIVE,,True,Handyman,False,,,"H)ANDYMAN LLC offers a range of handyman services in Seattle, WA, focusing on home repairs and improvements.",,,,"Cabinet installation, Door repair, Deck refurbishment, Furniture assembly, Molding and trim installation","Handyman, General Repair Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:12:15,False,,approved_download,,
43,1 TOM PLUMBER,1TOMPTP773O8,PC,PLUMBING CONTRACTOR,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,(509) 727-3413,2023-10-11,2025-10-11,L,Limited Liability Company,02,RESIDENTIAL,,,605297288,"GOIRI, SCOTT A",A,ACTIVE,,True,Plumbing,False,https://www.1tomplumber.com/tri-cities/,,"1-Tom-Plumber offers reliable and fast plumbing services in the Tri-Cities area, specializing in emergency plumbing and water damage restoration.",,,,"Emergency Plumbing, Drain Cleaning, Water Damage Restoration, Excavation","Plumbing, Emergency Plumbing Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:15,False,,approved_download,,
45,1 WAY ELECTRICAL SERVS LLC,1WAYEWE761MS,EC,ELECTRICAL CONTRACTOR,1107 NW 61ST ST,,SEATTLE,WA,98107,(206) 694-9024,2024-07-19,2026-07-19,L,Limited Liability Company,01,GENERAL,,,605573382,"Stanley, Jonathan L",A,ACTIVE,,,Electrical,False,,,"1 WAY ELECTRICAL SERVS LLC is an electrical contractor based in Seattle, WA, specializing in electrical services.",,,,"Electrical installation, Electrical repair, Wiring services, Lighting installation","Electrical, Electrical Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:20,False,,approved_download,,
47,1-2-3 CONSTRUCTION LLC,123COCL847CZ,CC,CONSTRUCTION CONTRACTOR,2265 Aviator Ln,,OAK HARBOR,WA,98277,(360) 720-1125,2016-02-09,2026-05-23,L,Limited Liability Company,01,GENERAL,,,603581687,"THOMPSON, NATHAN ALAN",A,ACTIVE,,True,Kitchen & Bath,False,https://www.1-2-3construction.com/,,"1-2-3 Construction LLC is a general contractor specializing in high-quality construction and remodeling services, dedicated to customer satisfaction.",,,,"Kitchen Remodeling, Bathroom Remodeling, Custom Home Builds","Kitchen & Bath, Remodeling",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:26,False,,approved_download,,
44,1 TOM PLUMBER STTL & GRTR ES,1TOMPTP761D5,PC,PLUMBING CONTRACTOR,20109 144TH AVENUE NE,,WOODINVILLE,WA,98072,(425) 256-3408,2024-03-25,2026-03-25,L,Limited Liability Company,01,JOURNEY LEVEL,,,605283331,"HAWKINS, CRAIG VICTOR",A,ACTIVE,,True,Plumbing,False,https://us.nextdoor.com/pages/1-tom-plumber-woodinville-wa/,,"1-Tom-Plumber is a full-service plumbing and drain cleaning company, available 24/7/365 for both residential and commercial needs. We are committed to providing reliable, responsive plumbing care with a focus on customer satisfaction.",,,,"Emergency plumbing, Drain cleaning, Leak repair, Stubborn drain clearing","Plumbing, Emergency Plumbing Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:26,False,,approved_download,,
49,1-800 PLUMBER & AIR PACIFIC NW,1800PPA785KB,PC,PLUMBING CONTRACTOR,9735 SW SUNSHINE CT ST 100,,BEAVERTON,OR,97005,(503) 676-3449,2022-06-22,2026-06-22,C,Corporation,01,JOURNEY LEVEL,,,604745340,"NGUYEN, CHRISTOPHER DAO",A,ACTIVE,,True,Plumbing,False,https://1800plumber.com/portland-or/,,1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing high-quality services in the Portland Metro and Vancouver areas.,,,,"Plumbing Services, Heating Services, Cooling Services, Emergency Services","Plumbing, Plumbing and HVAC Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:35,False,,approved_download,,
48,1-2-3 PLUMBING LLC,123PLPL767OF,PC,PLUMBING CONTRACTOR,8115 18TH AVE CT E,,TACOMA,WA,98404,(253) 882-4845,2024-09-06,2026-09-06,L,Limited Liability Company,01,JOURNEY LEVEL,,,605597570,"SANCHEZ BAZAIL, RICARDO",A,ACTIVE,,,Plumbing,False,,,"1-2-3 PLUMBING LLC is a plumbing contractor based in Tacoma, WA, providing plumbing services.",,,,,"Plumbing, Plumbing Contractor",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:35,False,,approved_download,,
57,1-800-STRIPER OF BELLEVUE,1800SB*767M5,CC,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,2024-07-25,2026-07-25,L,Limited Liability Company,SS,Paving/ Striping/ Seal Coating,,,605548197,"HESS, KIERAN MATTHEW",A,ACTIVE,,False,Painting,False,https://1800striper.com/striper-of-bellevue/,,"1-800-STRIPER of Bellevue specializes in professional line striping services for parking lots, sports courts, and more in the Greater Puget Sound area.",,,,"Parking lot striping, Restriping, ADA compliance striping, Sport court and playground markings, Fire lane striping, Interior striping","Painting, Line Striping",,,,,,,,,,1.00,,,completed,2025-07-23 03:17:58,False,,approved_download,,
56,1-800-PLUMBER + AIR,1800PA*771MU,PC,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,2023-08-01,2027-08-01,L,Limited Liability Company,01,JOURNEY LEVEL,,,605248662,"SUPRAMANIAN, RAMANATHAN",A,ACTIVE,,True,Plumbing,False,https://1800plumber.com/,,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable services for plumbing, heating, and cooling needs.",,,,"Plumbing Services, Cooling Services, Heating Services, Emergency Services","Plumbing, Plumbing and HVAC Services",,,,,,,,,,1.00,,,completed,2025-07-23 03:18:06,False,,approved_download,,
