business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at,exported_at,export_batch_id
+SUN TREE SERVICE LLC,SUNTRTS782Q1,CONSTRUCTION CONTRACTOR,11011 Park Ave S,Apt C110,Parkland,WA,98444,(253) 468-0554,"ARIAS MARTINEZ, ANGELICA MARIA",https://www.bizapedia.com/wa/sun-tree-service-llc.html,Tree Service,,,0.90,0.75,0.90,,completed,approved_download,2025-08-03 23:05:52.184751,,2025-08-02 05:26:37.771459,,
1 TOM PLUMBER,1TOMPTP773O8,PLUMBING CONTRACTOR,6250 W CLEARWATER AVE STE 101,,KENNEWICK,WA,99336,(509) 727-3413,"GOIRI, SCOTT A",https://1tomplumber.com,Plumbing,,,0.90,0.40,0.90,,completed,approved_download,2025-08-06 02:29:53.073620,,2025-08-02 05:26:37.771459,,
1-800-BOARDUP,1800B**929O9,CONSTRUCTION CONTRACTOR,1581 N NATIONAL AVE,,CHEHALIS,WA,98532,(360) 345-1095,"GODFREY, KEVIN KEITH",https://www.firewaterstorm.com/,Restoration Cleaning,,,0.80,0.85,0.80,,completed,approved_download,2025-08-06 02:30:17.693569,,2025-08-02 05:26:37.771459,,
1-800-BOARDUP,1800B**917L9,CONSTRUCTION CONTRACTOR,3701 W G St,,Bremerton,WA,98312,(206) 522-9570,"OMLI, DAVID MICHAEL",https://nordicservices.com/contact-us/,Handyman,,,0.80,0.85,0.80,,completed,approved_download,2025-08-03 23:26:53.066701,,2025-08-02 05:26:37.771459,,
1-800-PLUMBER + AIR,1800PA*771MU,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,"SUPRAMANIAN, RAMANATHAN",https://shasheebvij.com/wp-job/job/general-manager-redmond-at-1-800-plumber-plus-air-of-eastside-seattle-redmond-wa-MUVTNm5NcEhXMXlnWE9OeE4vZXl2WktlNHc9PQ==,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:06:15.025442,,2025-08-02 05:26:37.771459,,
1-800-STRIPER OF BELLEVUE,1800SB*767M5,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,"HESS, KIERAN MATTHEW",https://1800striper.com/pressure-washing-services/,Exterior Cleaning,,,0.80,0.95,0.80,,completed,approved_download,2025-08-03 23:27:05.123798,,2025-08-02 05:26:37.771459,,
10 STAR CONSTRUCTION LLC,10STASC845MA,CONSTRUCTION CONTRACTOR,18209 52ND AVE W #307,,LYNNWOOD,WA,98037,(425) 772-8264,"MIRAMONTES - RAMIREZ, CRISTOBA",https://10starconstruction.com/,Home Builder,,,0.80,0.90,0.80,,completed,approved_download,2025-08-03 23:27:57.731124,,2025-08-02 05:26:37.771459,,
100 PROOF DRYWALL LLC,100PRPD823OR,CONSTRUCTION CONTRACTOR,PO BOX 86,,SOUTHWORTH,WA,98386,(360) 317-3229,"LINDAL, JAMES WALLACE",https://www.100proofdrywall.com/,Dry Wall,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:28:23.462172,,2025-08-02 05:26:37.771459,,
101 MOBILITY,101MOM*823B5,CONSTRUCTION CONTRACTOR,6265 40TH ST E,,TACOMA,WA,98424,(206) 596-6926,"BALUCH, SCOTT A",https://www.101mobility.com/locations/all-locations/,Bathroom/Kitchen Remodel,,,0.80,0.40,0.80,,completed,approved_download,2025-08-03 23:29:04.094553,,2025-08-02 05:26:37.771459,,
101 Pest Control LLC,101PEPC881MZ,CONSTRUCTION CONTRACTOR,P O BOX 548,,CARLSBORG,WA,98324,(360) 670-3085,"Mason, John R",https://www.co.jefferson.wa.us/1528/21662,Pest Control,,,0.80,0.60,0.80,,completed,approved_download,2025-08-06 02:30:38.517152,,2025-08-02 05:26:37.771459,,
110% LLC,110LLL*812CA,CONSTRUCTION CONTRACTOR,206 W YELM AVE,,YELM,WA,98597,(360) 259-7189,"Schmier, Adam",https://getdnaplumbingllc.com/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:24:13.916478,,2025-08-02 05:26:37.771459,,
12 DECKS & FENCES LLC,12DECDF813MN,CONSTRUCTION CONTRACTOR,13915 99TH AVE SE,,Snohomish,WA,98296,(206) 487-6747,"Mirbek, Taubayev",https://12decks.vercel.app/,Decks & Patios,,,0.90,0.80,0.90,,completed,approved_download,2025-08-03 23:32:28.286360,,2025-08-02 05:26:37.771459,,
12 GENERAL CONSTRUCTION LLC,12GENGC815JA,CONSTRUCTION CONTRACTOR,124 192ND ST CT E,,Spanaway,WA,98387,(253) 391-1178,"Yu, Chunae",https://www.12generalconstructionllc.com/,Painting,,,0.80,0.95,0.80,,completed,approved_download,2025-08-03 23:33:08.478321,,2025-08-02 05:26:37.771459,,
12 TILE,12TILT*852LA,CONSTRUCTION CONTRACTOR,12907 E gibson rd,F101,Everett,WA,98204,(206) 422-1359,"FARNSWORTH, ERICK ALAN",https://themossbusters.com/project-gallery/,Roof Cleaning,,,0.80,0.65,0.80,,completed,approved_download,2025-08-03 23:06:42.495142,,2025-08-02 05:26:37.771459,,
123 Electric Service Inc,123ELES892CP,ELECTRICAL CONTRACTOR,14725 NE 20TH ST D-12,,Bellevue,WA,98007,(425) 455-2027,"Leber, Brett",https://123electricservice.com/,Electrician,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:16:40.193939,,2025-08-02 05:26:37.771459,,
123 Electric Service Inc,123ELES877DA,CONSTRUCTION CONTRACTOR,14725 NE 20TH STREET D-12,,Bellevue,WA,98007,(425) 455-2027,"LEBER, BRETT CHARLES",https://123electricservice.com/,Electrician,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:35:43.891712,,2025-08-02 05:26:37.771459,,
168 KITCHEN & BATH CORP,168KIKB779N4,CONSTRUCTION CONTRACTOR,5133 S AVON ST,,SEATTLE,WA,98178,(206) 495-3376,"WU, ZHOUJUN",https://kbauthority.com,Bathroom/Kitchen Remodel,,,0.90,0.50,0.90,,completed,approved_download,2025-08-06 16:54:51.210780,,2025-08-02 05:26:37.771459,,
1855SLABJACK,1855S**854DQ,CONSTRUCTION CONTRACTOR,720 BRIARWOOD TERRACE,,EAST WENATCHEE,WA,98802,(509) 888-4600,"SARGENT, JERALD PETER",https://anyflip.com/aniu/vocc/basic/51-84,Concrete,,,0.80,0.90,0.80,,completed,approved_download,2025-08-06 02:31:38.631359,,2025-08-02 05:26:37.771459,,
1ST CHOICE HOME SOLUTIONS LLC,1STCHCH779BZ,CONSTRUCTION CONTRACTOR,20816 31ST PL W,,LYNNWOOD,WA,98036,(509) 303-9094,"RAMOS GARCIA, BARBARA",https://1stchoicehs.com,,,,0.80,,0.80,,completed,approved_download,2025-08-03 23:51:23.118024,,2025-08-02 05:26:37.771459,,
1ST PLACE STRIPING,1STPLPS948M8,CONSTRUCTION CONTRACTOR,13612 60TH AVE SE,,EVERETT,WA,98208,(425) 357-8249,"CORNELIUS, BRET",http://www.1stplacestriping.com/,Concrete,,,0.80,0.80,0.80,,completed,approved_download,2025-08-03 23:07:40.578810,,2025-08-02 05:26:37.771459,,
1ST RESPONSE PLUMBING,1STRERP781D8,PLUMBING CONTRACTOR,9917 N EDNA ST,,SPOKANE,WA,99208,(509) 847-8372,"LANDIN, JARED",https://1stresponseplumber.com,Plumbing,,,0.90,0.60,0.90,,completed,approved_download,2025-08-06 02:32:06.558539,,2025-08-02 05:26:37.771459,,
1STOP INTERIOR,1STOPI*772D8,CONSTRUCTION CONTRACTOR,345 Ohio St,,BELLINGHAM,WA,98225,(360) 676-6034,"Peralta, Fatima Patricia",https://1-stopinteriors.com,Flooring,,,0.90,0.75,0.90,,completed,approved_download,2025-08-06 19:00:02.067973,,2025-08-02 05:26:37.771459,,
2 BROTHERS CONCRETE LLC,2BROTBC780DW,CONSTRUCTION CONTRACTOR,4040 AUBURN WAY S TRLR 59,,AUBURN,WA,98092,(206) 941-8858,"ALVARADO MENDOZA, ARTURO",https://2brothersconcretellc.com/,Concrete,,,0.90,0.75,0.90,,completed,approved_download,2025-08-06 19:00:07.998217,,2025-08-02 05:26:37.771459,,
2 BROTHERS CONTRACTING LLC,2BROTBC853M3,CONSTRUCTION CONTRACTOR,7017 NE 124TH AVE,,VANCOUVER,WA,98682,(360) 909-2265,"PENNINGTON, CHARLES E",https://2broscontractingllc.com/,Roofing,,,0.80,0.95,0.80,,completed,approved_download,2025-08-06 02:32:32.565354,,2025-08-02 05:26:37.771459,,
2 GUYS PLUMBING LLC,2GUYSGP786KB,PLUMBING CONTRACTOR,PO BOX 1386,,CASTLE ROCK,WA,98611,(360) 274-3453,"ELLIS, WILLIAM GIMM WANEMAH",https://www.2guysplumbing.com/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-06 02:33:33.020578,,2025-08-02 05:26:37.771459,,
2 GUYS PLUMBING LLC,2GUYSGP820JD,CONSTRUCTION CONTRACTOR,PO BOX 1386,,CASTLE ROCK,WA,98611,(360) 747-9205,"VEACH, JONATHAN JAMES",https://www.2guysplumbing.com/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-06 02:33:18.992322,,2025-08-02 05:26:37.771459,,
2 SONS PLUMBING,2SONSSP757D5,ELECTRICAL CONTRACTOR,106 FRONTAGE RD N,,PACIFIC,WA,98047,(206) 736-6300,"BOVAN, ROWDY",https://www.2sonsplumbing.com/plumbing-pacific-wa/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:08:40.966709,,2025-08-02 05:26:37.771459,,
2 SONS PLUMBING LLC,2SONSSP779KT,ELECTRICAL CONTRACTOR,106 Frontage Rd N,,PACIFIC,WA,98047,(206) 736-6300,"SCHULES, TYLER R",https://www.2sonsplumbing.com/plumbing-pacific-wa/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:09:09.465281,,2025-08-02 05:26:37.771459,,
2020 Electric Company LLC,2020EEC804CQ,ELECTRICAL CONTRACTOR,PO BOX 150,,GREENBANK,WA,98253,(360) 661-1781,"Armour, David A",https://elcose.com,Electrician,,,0.90,0.50,0.90,,completed,approved_download,2025-08-06 19:05:05.849747,,2025-08-02 05:26:37.771459,,
206 CREW LLC,206CRCL775C4,CONSTRUCTION CONTRACTOR,PO BOX 31039,,SEATTLE,WA,98103,(206) 458-3780,"PANDHER, SIMRANJIT SINGH",https://206crew.com/,Junk Removal,,,0.80,0.95,0.80,,completed,approved_download,2025-08-03 23:17:50.778832,,2025-08-02 05:26:37.771459,,
20th Century Contracting,20THCCC860B4,CONSTRUCTION CONTRACTOR,2417 NE 102nd St.,,VANCOUVER,WA,98686,(360) 606-8451,"Short, Mark Leon",https://www.20thcenturyroofing.com/,Roofing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-06 02:34:18.683137,,2025-08-02 05:26:37.771459,,
21ST CENTURY ELECTRIC,21STCCE753LT,ELECTRICAL CONTRACTOR,9187 W BELFAIR VALLEY RD,,BREMERTON,WA,98312,(360) 990-5012,"GLENN, CURTIS W",https://gentech.generacdealers.com/,Electrician,,,0.90,0.90,0.90,,completed,approved_download,2025-08-03 23:17:58.017576,,2025-08-02 05:26:37.771459,,
222 ELECTRIC CO,222ELEC859RN,ELECTRICAL CONTRACTOR,11806 221ST AVE E,,BONNEY LAKE,WA,98391,(253) 222-4605,"ROACH, MARK T",https://www.thebluebook.com/iProView/1511741/222-electric-co/general-contractors/,Electrician,,,0.90,0.95,0.90,,completed,approved_download,2025-08-06 02:34:34.918860,,2025-08-02 05:26:37.771459,,
23 CONCRETE LLC,23CONCL792N4,CONSTRUCTION CONTRACTOR,4970 NE 193RD ST,,LAKE FOREST PARK,WA,98155,(206) 640-4723,"BELLERT, TODD MICHAEL",https://concrete-wa.com/blog/2023/01/cougars-in-concrete/,Concrete,,,0.80,0.80,0.80,,completed,approved_download,2025-08-03 23:09:39.372063,,2025-08-02 05:26:37.771459,,
24 HOUR ELECTRIC INC,24HOUHE926NE,ELECTRICAL CONTRACTOR,703 N A St,,COEUR D ALENE,ID,83814,(208) 651-0073,"REARDON, NAVARA D",https://24hourelectricianlasvegas.com,Electrician,,,0.90,0.70,0.90,,completed,approved_download,2025-08-06 02:34:42.461965,,2025-08-02 05:26:37.771459,,
24 HOUR LOCK AND KEY LLC,24HOUHL822L8,CONSTRUCTION CONTRACTOR,2512 E EVERGREEN BLVD #31,,Vancouver,WA,98661,(971) 720-9939,"SKYLES, ADAM",https://24-hourlockandkey.com,Security Systems,,,0.80,0.70,0.80,,completed,approved_download,2025-08-06 02:34:47.559369,,2025-08-02 05:26:37.771459,,
24-HOUR HOME CARE SERVICE LLC,24HOUHC782C5,CONSTRUCTION CONTRACTOR,6656 HOMESTEAD AVE,,TACOMA,WA,98404,(253) 579-8200,"ROS, PHEAROM",https://www.homewatchcaregivers.com/home-care-services/24-hour-care/,Senior Care,,,0.80,0.80,0.80,,completed,approved_download,2025-08-03 23:18:18.580230,,2025-08-02 05:26:37.771459,,
24/7 HANDYMAN,247HAH*852JB,CONSTRUCTION CONTRACTOR,12020 SE 213TH ST,,KENT,WA,98031,(206) 715-4394,"HABERLACH, IRA RICHARD",https://samandsons.net/siding-repair-in-washington-dc/,Plumbing,,,0.90,0.95,0.90,,completed,approved_download,2025-08-03 23:10:08.426918,,2025-08-02 05:26:37.771459,,
24/7 RESTORATION LLC,247RERL860JH,CONSTRUCTION CONTRACTOR,4206 E MONTGOMERY,,SPOKANE,WA,99217,(509) 723-7258,"SLAWTER, EDWARD ILS",https://capstone247.com/,Restoration Cleaning,,,0.85,0.95,0.85,,completed,approved_download,2025-08-06 02:35:34.180784,,2025-08-02 05:26:37.771459,,
24RESTECH LLC,24RESL*839OA,CONSTRUCTION CONTRACTOR,922 Valley Ave NW,Unit 107,Puyallup,WA,98371,(253) 238-0838,"ROESCH, MICHAEL LANE",https://www.24restech.com/,Water Damage Restoration,,,0.80,1.00,0.80,,completed,approved_download,2025-08-06 19:09:26.663399,,2025-08-02 05:26:37.771459,,
253 Electric LLC,253ELEL775RH,ELECTRICAL CONTRACTOR,16023 234TH STREET CT E,,GRAHAM,WA,983387610,(253) 266-9571,"Robinson, Mike D",https://253electric.com/,Electrician,,,0.90,1.00,0.90,,completed,approved_download,2025-08-06 19:09:53.496173,,2025-08-02 05:26:37.771459,,
2A2SERVICES LLC,2A2SEL*771PC,CONSTRUCTION CONTRACTOR,2A2SERVICES LLC Regus Renton Triton Towers Three,707 S Grady Way,Renton,WA,98057,(253) 666-8687,"TUATOO, JAMES",https://www.2a2servicesllc.com/,Handyman,,,0.80,0.75,0.80,,completed,approved_download,2025-08-06 19:10:09.941217,,2025-08-02 05:26:37.771459,,
2HOUSE SOLUTIONS LLC,2HOUSSL784LP,CONSTRUCTION CONTRACTOR,3513 W 4TH AVE APT C,,KENNEWICK,WA,99336,(509) 873-6668,"CASADOS, JUAN ANTONIO",https://www.bizprofile.net/wa/kennewick/aj-s-hvac-electrical,Heating and Cooling,,,0.80,0.90,0.80,,completed,approved_download,2025-08-06 02:36:02.293823,,2025-08-02 05:26:37.771459,,
