business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
#1 CONSTRUCTION,1CONSC*856LS,CONSTRUCTION CONTRACTOR,918 S 301ST ST,,FEDERAL WAY,WA,98003,(206) 383-3737,"RIVERA, MYONG HUI",,General Contractor,"A construction contractor based in Federal Way, WA, offering various construction services.",,0.70,,,,completed,pending_review,2025-07-23 03:12:22.121441,,2025-07-22 23:37:37.197793
#1EAGLEREMODELING LLC,1EAGLL*816PQ,CONSTRUCTION CONTRACTOR,16821 3RD AVE CT E,,SPANAWAY,WA,98387,(206) 372-8756,"RAMIREZ REYES, ADOLFO",,,"1EAGLEREMODELING LLC is a contractor business located in Spanaway, WA, specializing in remodeling services.",,0.70,,,,completed,pending_review,2025-07-23 02:35:15.007927,,2025-07-22 23:37:37.197793
#6 Productions LLC,6PRODPL809OT,CONSTRUCTION CONTRACTOR,3430 Number 6 Rd,,ELLENSBURG,WA,98926,(509) 859-3466,"Robinson, Beau Daniel",,,"A contractor business located in Ellensburg, WA, owned by Beau Robinson, involved in construction-related services.",,0.70,,,,completed,pending_review,2025-07-23 02:35:15.007977,,2025-07-22 23:37:37.197793
&RU ENTERPRISES LLC,RUENTEL855LN,CONSTRUCTION CONTRACTOR,3710 E CONGRESS AVE,,SPOKANE,WA,99223,(509) 475-2600,"STACHOFSKY, ANDREW",,Handyman,"A contractor business based in Spokane, WA, offering handyman services.","General repairs, Home maintenance, Minor renovations",0.70,,,,completed,pending_review,2025-07-23 03:12:25.823051,,2025-07-22 23:37:37.197793
+1 Construction LLC,1CONSCL842KL,CONSTRUCTION CONTRACTOR,925 Malaga Ave.,,WENATCHEE,WA,98801,(509) 679-2915,"Mattson, Steven R",,Handyman,"A contractor business based in Wenatchee, WA, offering various construction and repair services.",,0.70,,,,completed,pending_review,2025-07-23 03:15:54.748372,,2025-07-22 23:37:37.197793
1 CALL CONSTRUCTION LLC,1CALLCC820NB,CONSTRUCTION CONTRACTOR,315 McGeary Rd,,KELSO,WA,98626,(360) 957-3383,"Scritchfield, Daniel James",,Handyman,"1 CALL CONSTRUCTION LLC is a contractor business based in Kelso, WA, specializing in various handyman and general repair services.","General Repairs, Home Maintenance, Remodeling",0.70,,,,completed,pending_review,2025-07-23 03:16:30.753018,,2025-07-22 23:37:37.197793
1 EUROSTYLE CORPORATION,1EUROEC864MG,CONSTRUCTION CONTRACTOR,10107 NE 143rd Ave,,VANCOUVER,WA,98682,(971) 202-3331,"SARANCHUK, VALERIY PETROVICH",https://euro.style/,Handyman,Euro Style specializes in contemporary furniture at affordable prices.,,0.60,,,,completed,pending_review,2025-07-23 03:16:24.395351,,2025-07-22 23:37:37.197793
1 LEG ENTERPRISES LLC,1LEGELE767JW,CONSTRUCTION CONTRACTOR,211 N LINCOLN ST,,KENNEWICK,WA,99336,(509) 378-6926,"TAMBURELLO, TYLER JAMES",,Handyman,"1 LEG ENTERPRISES LLC is a contractor business located in Kennewick, WA, providing various handyman and general repair services.","General Repairs, Home Maintenance, Minor Renovations",0.70,,,,completed,pending_review,2025-07-23 03:16:42.209712,,2025-07-22 23:37:37.197793
1 Savanni LLC,1SAVAL*833KJ,CONSTRUCTION CONTRACTOR,5323 150TH PL SW,,EDMONDS,WA,98026,(425) 220-1777,"SAVCHENKO, VLADIMIR",,Handyman,"1 Savanni LLC is a construction contractor based in Edmonds, WA, specializing in general repair services.","General Repairs, Home Maintenance",0.70,,,,completed,pending_review,2025-07-23 03:17:04.609100,,2025-07-22 23:37:37.197793
1-16 INSTALLATION LLC,116INIL757DL,CONSTRUCTION CONTRACTOR,1137 123RD AVE CT E,,EDGEWOOD,WA,98372,(253) 886-3937,"TRUFYN, ANATOLIY D",,Handyman,"1-16 INSTALLATION LLC is a contractor business located in Edgewood, WA, specializing in various installation and repair services.",,0.70,,,,completed,pending_review,2025-07-23 03:17:27.970773,,2025-07-22 23:37:37.197793
