business_name,contractor_license_number,contractor_license_type_code_desc,address1,address2,city,state,zip,phone_number,primary_principal_name,website_url,mailer_category,business_description,services_offered,confidence_score,website_confidence,classification_confidence,residential_focus,processing_status,review_status,last_processed,reviewed_at,created_at
1-800-PLUMBER + AIR,1800PA*771MU,PLUMBING CONTRACTOR,14630 NE 95th ST,,REDMOND,WA,98052,(425) 298-6969,"SUPRAMANIAN, RAMANATHAN",https://1800plumber.com/eastside-seattle-wa/,Plumbing,"1-800-Plumber +Air is an industry-leading Plumbing and HVAC company focused on providing fast, dependable services for plumbing, heating, and cooling needs.","Plumbing Drain Repair, Plumbing Pipe Repair, Heating Services, Cooling Services, Emergency Services",0.81,0.75,0.90,,completed,approved_download,2025-07-31 19:42:08.426197,,2025-07-31 19:40:28.977388
1-800-STRIPER OF BELLEVUE,1800SB*767M5,CONSTRUCTION CONTRACTOR,11112 NE 124TH LN APT D213,,KIRKLAND,WA,98034,(425) 532-5401,"HESS, KIERAN MATTHEW",https://www.everettpost.com/shop-local,Painting,"1-800-STRIPER of Bellevue specializes in parking lot striping services for properties in Seattle, Bellevue, Everett, and the Greater Puget Sound.","Parking lot striping, Sport court painting, Line marking",0.81,0.75,0.90,,completed,approved_download,2025-07-31 19:42:14.260839,,2025-07-31 19:40:28.977388
206 ELECTRIC LLC,206ELEL762NM,ELECTRICAL CONTRACTOR,109 198TH ST SE,,BOTHELL,WA,98012,(206) 877-2759,"POGOSYAN, SERGEY",https://206electric.com,Electrical,"206 Electric is a local electrician company serving the Seattle area, providing top-quality electrical services for new homes, remodels, and home additions.","Electrical installations, Home remodel electrical work, Home addition electrical services, Electrical safety inspections",1.00,,1.00,,completed,approved_download,2025-07-31 19:44:29.037394,,2025-07-31 19:40:28.977388
24 HOUR FLOOD RESPONSE,24HOUHF898JF,CONSTRUCTION CONTRACTOR,PO BOX 30937,,SEATTLE,WA,98113,(206) 380-4986,"SACKSTEDER, CHARLES RUPERT",https://24hourfloodresponse.com,Water Damage Restoration,"24 Hour Flood Response provides premium water damage remediation services, focusing on emergency water extraction and structural drying.","Extraction of Standing Water, Sewer Backups, Decontamination, Structural Drying, Remodeling, Direct Billing to Insurance",0.90,,0.90,,completed,approved_download,2025-07-31 19:44:44.776853,,2025-07-31 19:40:28.977388
24/7 CONSTRUCTION LLC,247COCL782JM,CONSTRUCTION CONTRACTOR,11335 NE 122ND WAY,,KIRKLAND,WA,98034,(425) 448-0226,"LEWIS, ANTHONY PAUL",https://nextdoor.com/pages/247-construction-llc-kirkland-wa/,Roofing,"24/7 Construction LLC is a family-owned and operated roofing contractor specializing in roof repair and installation services, including torch down asphalt flat roofs. They offer free estimates and same-day service.","Roof Installation, Roof Replacement, Roof Repair, Torch Down Asphalt Flat Roofing",0.81,0.75,0.90,,completed,approved_download,2025-07-31 19:44:46.966613,,2025-07-31 19:40:28.977388
2RAY MECHANICAL 24/7 LLC,2RAYMM2758JP,CONSTRUCTION CONTRACTOR,18309 15TH PLACE WEST,,LYNNWOOD,WA,98037,(425) 585-8939,"YANKUBA, TOURAY J",https://nextdoor.com/pages/2ray-mechanical-247-lynnwood-wa/,HVAC,"2Ray Mechanical 24/7 is a licensed HVAC contractor based in Lynnwood, WA, specializing in heating, cooling, and ventilation services for both residential and commercial clients.","Heating services, Cooling services, Ventilation services",0.81,0.75,0.90,,completed,approved_download,2025-07-31 19:45:40.908046,,2025-07-31 19:40:28.977388
3 BRIDGES ELECTRIC,3BRIDBE787LA,ELECTRICAL CONTRACTOR,1509 PROSPECT ST,,TACOMA,WA,98406,(253) 590-8973,"HUFF, DAVID J",https://3bridgeselectric.com,Electrical,"3 Bridges Electric is a family-owned electrical contractor based in Tacoma, WA, providing high-quality electrical services for both residential and commercial clients with a focus on safety, efficiency, and sustainability.","Electrical Repair & Remodel, Commercial Tenant Improvements, Panel Changes & Service Upgrades, Indoor & Outdoor Lighting, EV Charging Station Installation, Hot Tub Wiring, Electrical Troubleshooting, Emergency Back-Up Power, Knob & Tube Replacement",1.00,,1.00,,completed,approved_download,2025-07-31 19:45:47.015571,,2025-07-31 19:40:28.977388
3 BROTHERS DECKING LLC,3BROTBD817J6,CONSTRUCTION CONTRACTOR,17048 se 65th pl,,Bellevue,WA,98006,(206) 775-4897,"Nestor, Anthony Steven M",https://3brothersdecking.com,Decking,3 Brothers Decking is a family-owned deck builder and home improvement contractor specializing in custom deck designs and construction in Western Washington and Northern Idaho.,"Deck Construction and Installation, Patio Covers & Roof Extensions, Custom Deck Railing Systems, Deck Lighting & Finishing Touches",1.00,,1.00,,completed,approved_download,2025-07-31 19:45:53.016501,,2025-07-31 19:40:28.977388
3 COATS PAINTING,3COATCP770QW,CONSTRUCTION CONTRACTOR,15600 NE 8TH ST,SUITE B1 #101,BELLEVUE,WA,98008,(425) 802-8203,"GONZALEZ TAMEZ, CARLOS",https://3coatspainting.com,Painting,"3 Coats Painting offers professional quality home painting services in Seattle, specializing in both interior and exterior painting.","Exterior Painting, Interior Painting, Doors and Windows Painting, Kitchen Cabinets Painting, Woodwork Painting, Pressure Washing",0.90,,0.90,,completed,approved_download,2025-07-31 19:46:00.910673,,2025-07-31 19:40:28.977388
3 KINGS ENVIRONMENTAL INC,3KINGEI036K3,CONSTRUCTION CONTRACTOR,PO BOX 280,,BATTLE GROUND,WA,98604,(360) 666-5464,"KING, RONALD L",https://3kingsenvironmental.com,Environmental,"3 Kings Environmental is a company focused on providing high-quality environmental construction services in Washington and Oregon, specializing in abatement, remediation, and decommissioning.","Residential Abatement, Residential Environmental, Residential Remediation, Residential USTs/HOTs, Commercial Asbestos Removal, Commercial Demolition, Commercial Environmental Assessment Services, Commercial Excavation Services, Commercial Environmental Remediation, USTs/HOTs",0.90,,0.90,,completed,approved_download,2025-07-31 19:45:58.129643,,2025-07-31 19:40:28.977388
